model,label,psprate,freq_hz,steady_plasma
baseline,Baseline + AHP,150,0.7975221955912638,0.5678176690582065
baseline,Baseline + AHP,200,1.7679585720913344,1.7904573618919761
baseline,Baseline + AHP,250,2.7942088241701164,4.047774429538588
baseline,Baseline + AHP,300,4.007237262710134,8.767098438622178
baseline,Baseline + AHP,330,4.657574301886,11.598391168803463
baseline,Baseline + AHP,360,5.2891072754423565,15.226672891378678
baseline,Baseline + AHP,390,5.804758148987396,19.950937713438837
baseline,Baseline + AHP,420,6.395663956639569,26.823079509425654
no_ahp,Baseline without AHP,150,0.8059615839043984,0.5723466803383878
no_ahp,Baseline without AHP,200,1.7888564275534027,1.8219358092316986
no_ahp,Baseline without AHP,250,2.852857884947297,4.2053020169312525
no_ahp,Baseline without AHP,300,4.065737076764296,9.071122904837337
no_ahp,Baseline without AHP,330,4.762004218968652,12.181605159952435
no_ahp,Baseline without AHP,360,5.43927120439814,16.42113950438837
no_ahp,Baseline without AHP,390,5.9758545430265695,21.266249193510433
no_ahp,Baseline without AHP,420,6.591619762351457,28.71466804327779
simple_dap,Simple DAP,150,0.8186206663741008,0.6066517882040773
simple_dap,Simple DAP,200,1.8431908517547926,1.9522851109789088
simple_dap,Simple DAP,250,2.9492099133669614,4.538993257260115
simple_dap,Simple DAP,300,4.278843542247312,10.35804246059365
simple_dap,Simple DAP,330,4.9917708881592615,13.690647759945156
simple_dap,Simple DAP,360,5.668688318080565,18.389197285257403
simple_dap,Simple DAP,390,6.284662668853361,24.342537492049555
simple_dap,Simple DAP,420,6.954346466541597,32.85281247212673
