model,psprate,freq_hz,plasma
mal11e_baseline_ahp,150,0.804,0.6589
mal11e_baseline_ahp,200,1.637,1.9855
mal11e_baseline_ahp,250,2.750,4.5166
mal11e_baseline_ahp,300,3.831,10.0990
mal11e_baseline_ahp,330,4.559,13.1958
mal11e_baseline_ahp,360,5.086,17.9693
mal11e_baseline_ahp,390,5.772,21.2850
mal11e_baseline_ahp,420,6.352,28.8190
mal11e_baseline_no_ahp,150,0.828,0.6461
mal11e_baseline_no_ahp,200,1.750,2.2097
mal11e_baseline_no_ahp,250,2.785,5.1704
mal11e_baseline_no_ahp,300,3.984,10.5064
mal11e_baseline_no_ahp,330,4.680,13.2632
mal11e_baseline_no_ahp,360,5.334,17.6914
mal11e_baseline_no_ahp,390,6.047,25.3549
mal11e_baseline_no_ahp,420,6.543,31.7281
mal11e_simple_dap,150,0.793,0.7078
mal11e_simple_dap,200,1.723,2.0199
mal11e_simple_dap,250,2.815,4.6802
mal11e_simple_dap,300,4.120,10.1709
mal11e_simple_dap,330,4.906,17.4002
mal11e_simple_dap,360,5.682,23.6807
mal11e_simple_dap,390,6.192,27.0538
mal11e_simple_dap,420,7.055,36.3513
